study_accession_id,study_title,study_type,instrument_platform,instrument_model,library_layout,library_name,library_strategy,library_source,library_selection,experiment_accession_id,run_accession_id,sample_accession_id,sample_alias,biosample_id,sample_title
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495605,EGAR00001539412,EGAN00001503912,PV1038,SAMEA103909728,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495606,EGAR00001539413,EGAN00001503912,PV1038,SAMEA103909728,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495607,EGAR00001539414,EGAN00001503913,PV1043,SAMEA103909729,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495608,EGAR00001539415,EGAN00001503913,PV1043,SAMEA103909729,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495609,EGAR00001539416,EGAN00001503913,PV1043,SAMEA103909729,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495610,EGAR00001539417,EGAN00001503914,PV1046,SAMEA103909730,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495611,EGAR00001539418,EGAN00001503914,PV1046,SAMEA103909730,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495612,EGAR00001539419,EGAN00001503915,PV1047,SAMEA103909731,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495613,EGAR00001539420,EGAN00001503916,PV1057,SAMEA103909732,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495614,EGAR00001539421,EGAN00001503916,PV1057,SAMEA103909732,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495615,EGAR00001539422,EGAN00001503916,PV1057,SAMEA103909732,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495616,EGAR00001539423,EGAN00001503916,PV1057,SAMEA103909732,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495617,EGAR00001539424,EGAN00001503917,PV1058,SAMEA103909733,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495618,EGAR00001539425,EGAN00001503917,PV1058,SAMEA103909733,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495619,EGAR00001539426,EGAN00001503918,PV1059,SAMEA103909734,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495620,EGAR00001539427,EGAN00001503918,PV1059,SAMEA103909734,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495621,EGAR00001539428,EGAN00001503918,PV1059,SAMEA103909734,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495622,EGAR00001539429,EGAN00001503919,PV1064,SAMEA103909735,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495623,EGAR00001539430,EGAN00001503919,PV1064,SAMEA103909735,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495624,EGAR00001539431,EGAN00001503919,PV1064,SAMEA103909735,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495625,EGAR00001539432,EGAN00001503920,PV1065,SAMEA103909736,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495626,EGAR00001539433,EGAN00001503920,PV1065,SAMEA103909736,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495627,EGAR00001539434,EGAN00001503921,PV1066,SAMEA103909737,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495628,EGAR00001539435,EGAN00001503921,PV1066,SAMEA103909737,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495629,EGAR00001539436,EGAN00001503921,PV1066,SAMEA103909737,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495630,EGAR00001539437,EGAN00001503922,PV1068,SAMEA103909738,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495631,EGAR00001539438,EGAN00001503922,PV1068,SAMEA103909738,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495632,EGAR00001539439,EGAN00001503922,PV1068,SAMEA103909738,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495633,EGAR00001539440,EGAN00001503922,PV1068,SAMEA103909738,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495634,EGAR00001539441,EGAN00001503923,PV1074,SAMEA103909739,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495635,EGAR00001539442,EGAN00001503923,PV1074,SAMEA103909739,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495636,EGAR00001539443,EGAN00001503924,PV1075,SAMEA103909740,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495637,EGAR00001539444,EGAN00001503924,PV1075,SAMEA103909740,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495638,EGAR00001539445,EGAN00001503925,PV1078,SAMEA103909741,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495639,EGAR00001539446,EGAN00001503925,PV1078,SAMEA103909741,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495640,EGAR00001539447,EGAN00001503926,PV1087,SAMEA103909742,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495641,EGAR00001539448,EGAN00001503926,PV1087,SAMEA103909742,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495642,EGAR00001539449,EGAN00001503927,PV1089,SAMEA103909743,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495643,EGAR00001539450,EGAN00001503927,PV1089,SAMEA103909743,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495644,EGAR00001539451,EGAN00001503928,PV1092,SAMEA103909744,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495645,EGAR00001539452,EGAN00001503928,PV1092,SAMEA103909744,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495646,EGAR00001539453,EGAN00001503928,PV1092,SAMEA103909744,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495648,EGAR00001539455,EGAN00001503929,PV1098,SAMEA103909745,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495649,EGAR00001539456,EGAN00001503929,PV1098,SAMEA103909745,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495650,EGAR00001539457,EGAN00001503930,PV1101,SAMEA103909746,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495651,EGAR00001539458,EGAN00001503930,PV1101,SAMEA103909746,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495653,EGAR00001539460,EGAN00001503931,PV1103,SAMEA103909747,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495654,EGAR00001539461,EGAN00001503931,PV1103,SAMEA103909747,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495656,EGAR00001539463,EGAN00001503932,PV1108,SAMEA103909748,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495658,EGAR00001539465,EGAN00001503933,PV1113,SAMEA103909749,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495660,EGAR00001539467,EGAN00001503934,PV1114,SAMEA103909750,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495661,EGAR00001539468,EGAN00001503935,PV1121,SAMEA103909751,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495662,EGAR00001539469,EGAN00001503935,PV1121,SAMEA103909751,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495664,EGAR00001539471,EGAN00001503936,PV1123,SAMEA103909752,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495665,EGAR00001539472,EGAN00001503937,PV1127,SAMEA103909753,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495667,EGAR00001539474,EGAN00001503938,PV1130,SAMEA103909754,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495668,EGAR00001539475,EGAN00001503938,PV1130,SAMEA103909754,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495670,EGAR00001539477,EGAN00001503939,PV1138,SAMEA103909755,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495672,EGAR00001539479,EGAN00001503940,PV1142,SAMEA103909756,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495673,EGAR00001539480,EGAN00001503941,PV1152,SAMEA103909757,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495674,EGAR00001539481,EGAN00001503941,PV1152,SAMEA103909757,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495676,EGAR00001539483,EGAN00001503942,PV1156,SAMEA103909758,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495678,EGAR00001539485,EGAN00001503943,PV1157,SAMEA103909759,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495679,EGAR00001539486,EGAN00001503943,PV1157,SAMEA103909759,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495680,EGAR00001539487,EGAN00001503944,PV1158,SAMEA103909760,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495681,EGAR00001539488,EGAN00001503944,PV1158,SAMEA103909760,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495683,EGAR00001539490,EGAN00001503945,PV1159,SAMEA103909761,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,EGAX00001495685,EGAR00001539492,EGAN00001503946,PV1166,SAMEA103909762,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495686,EGAR00001539493,EGAN00001503946,PV1166,SAMEA103909762,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495688,EGAR00001539495,EGAN00001503947,PV1168,SAMEA103909763,Patients with myelodysplasia
EGAS00001002346,Transcriptome sequencing of myelodysplasia,Other,ILLUMINA,Illumina HiSeq 2500,PAIRED,,Targeted-Capture,GENOMIC,Hybrid Selection,EGAX00001495690,EGAR00001539497,EGAN00001503948,PV1169,SAMEA103909764,Patients with myelodysplasia
